,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
348,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Other,,Northeast,Individual private practice,,Group and Individual fieldwork,Conferences or workshops,,4.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Other,Individual private practice,Conferences or workshops,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
349,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Clinic,,Midwest,Agency,,Intensive practicum,"Institution based course work,Conferences or workshops",,1.0,0.0,0.0,Training on supervision practices,,5.0,1-3 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Employer,Yes,15% of patient's direct services,5.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,Graduate course work material,,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,No,3.3248407643312103,5.0,Education,Behavior analyst,Clinic,Agency,"Institution based course work,Conferences or workshops",Training on supervision practices,Graduate course work material,3.1930232558139533,5.0,5.0,3.0,4.2,3.6666666666666665,3.75,4.0124938755512005
351,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,Outside US,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops",,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
352,Yes,>5 years,>5 years,Education,,Behavior analyst,,University or college,,Northeast,Agency,,Individual fieldwork,Institution based course work,,1.0,1.0,0.0,Other,None,4.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,0 hours,4-7 clients/consumers,2.0,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,University or college,Agency,Institution based course work,OtherNone,,3.6695122840271197,3.619020290915727,4.025139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.8101498478645084
353,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Other,,Northeast,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,1.0,0.0,"Training on supervision practices,Performance feedback",,5.0,1-3 candidates,5.0,2.0,No,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Other,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback",,3.6695122840271197,4.051201141979557,4.525139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
354,Yes,3-5 years,3-5 years,Behavior analysis,,Professor,,University or college,,Outside US,University,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,Other,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Professor,University or college,University,"Internet based continuing education,Conferences or workshops,Individual mentoring",Other,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
355,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Home-based,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Home-based,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
356,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Home-based,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,"Training on supervision practices,Performance feedback,Supervision Curriculum",,5.0,1-3 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,4.0,Self,Yes,20% of patient's direct services,2.0,1-3 candidates,5.0,0 hours,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Behavior analyst,Home-based,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback,Supervision Curriculum",,3.4695122840271195,4.544299620524666,5.0,3.8345681648339918,4.47176690782133,4.285637449860025,3.8655450699481992,3.8967507323846866
357,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Home-based,,Northeast,Individual private practice,,Individual fieldwork,Internet based continuing education,,2.0,1.0,0.0,Monetary compensation,,3.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,1-3 clients/consumers,1.0,Self,No,I do not supervise RBTs.,1.0,1-3 candidates,1.0,1-5 hours a week,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,Online CEU training,,2.0,3.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,3.0,2.0,3.0,3.0,No,3.3248407643312103,1.0,Education,Behavior analyst,Home-based,Individual private practice,Internet based continuing education,Monetary compensation,Online CEU training,2.5930232558139537,2.0,2.5,2.6,2.8,3.3333333333333335,1.75,2.550955414012739
358,Yes,3-5 years,0-2 years,Education,,Professor,,University or college,,South,University,,Group and Individual fieldwork,"Internet based continuing education,Individual mentoring",,1.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Professor,University or college,University,"Internet based continuing education,Individual mentoring",,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
360,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Clinic,,South,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring",,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
361,Yes,3-5 years,0-2 years,Education,,Behavior analyst,,Clinic,,Northeast,Agency,,Group and Individual fieldwork,Internet based continuing education,,0.0,,,Other,,2.0,1-3 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,Other,,3.0,5.0,2.0,5.0,1.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,No,3.3248407643312103,5.0,Education,Behavior analyst,Clinic,Agency,Internet based continuing education,Other,Other,3.1930232558139533,4.75,3.0,3.6,4.4,3.8333333333333335,1.75,3.6663400293973543
362,Yes,0-2 years,0-2 years,Behavior analysis,,Behavior analyst,,Clinic,,Midwest,Agency,,Individual fieldwork,Internet based continuing education,,0.0,,,"Training on supervision practices,Performance feedback",,1.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,2.0,Employer,Yes,5% of patient's direct services,1.0,1-3 candidates,1.0,1-5 hours a week,3.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,"Online CEU training,Published supervision curriculum",,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,Agency,Internet based continuing education,"Training on supervision practices,Performance feedback","Online CEU training,Published supervision curriculum",2.5930232558139537,2.25,2.0,1.4,3.4,1.0,1.5,2.1286064695817757
363,Yes,>5 years,3-5 years,Other,,Other,,Other,,West,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,1.0,0.0,1.0,"Training on supervision practices,Supervision Curriculum",,4.0,1-3 candidates,1.0,5.0,Yes,5.0,5.0,1-5 hours a week,7-11 clients/consumer,5.0,Self,Yes,5% of patient's direct services,1.0,1-3 candidates,1.0,1-5 hours a week,2.0,1.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,"Mentorship,Live CEU events,Online CEU training",,5.0,1.0,1.0,5.0,1.0,4.0,2.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,No,3.3248407643312103,1.0,Other,Other,Other,Agency,"Internet based continuing education,Conferences or workshops","Training on supervision practices,Supervision Curriculum","Mentorship,Live CEU events,Online CEU training",3.4,4.0,3.0,2.4,1.6,4.0,2.0,3.3586477217050468
364,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,2.0,2.0,1.0,Training on supervision practices,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops",Training on supervision practices,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
365,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Clinic,,South,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,0.0,0.0,Performance feedback,,2.0,1-3 candidates,1.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,1.0,Employer,Yes,5% of patient's direct services,3.0,1-3 candidates,3.0,1-5 hours a week,3.0,4.0,5.0,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Clinic,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring",Performance feedback,,2.6695122840271197,3.294299620524666,2.5,3.6955368258026526,4.154957791012213,4.285637449860025,3.451015155418285,3.801637868041053
366,Yes,,,,,,,,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,,,,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
367,Yes,0-2 years,0-2 years,Behavior analysis,,Behavior analyst,,Other,,Outside US,Other,Private school ,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring,Other",Years in the field of ABA prior to becoming BCBA ,0.0,,,"Protected office planning time,Administrative assistance,Performance feedback",,3.0,4-7 candidates,5.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Other,OtherPrivate school,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring,OtherYears in the field of ABA prior to becoming BCBA","Protected office planning time,Administrative assistance,Performance feedback",,4.06951228402712,4.119020290915728,3.525139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.8870729247875855
368,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Clinic,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Behavior analyst,Clinic,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
369,Yes,>5 years,0-2 years,Education,,Behavior analyst,,Home-based,,Northeast,Agency,,Individual fieldwork,Conferences or workshops,,0.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Home-based,Agency,Conferences or workshops,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
370,Yes,3-5 years,3-5 years,Counseling,,Behavior analyst,,Other,,Northeast,Other,Public school,Individual fieldwork,Conferences or workshops,,0.0,,,Other,None,3.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Employer,Yes,10% of patient's direct services,2.0,1-3 candidates,5.0,1-5 hours a week,5.0,1.0,5.0,1.0,5.0,4.0,3.0,5.0,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Counseling,Behavior analyst,Other,OtherPublic school,Conferences or workshops,OtherNone,,4.26951228402712,4.794299620524666,4.0,3.8345681648339918,2.8717669078213297,4.285637449860025,3.3655450699481992,3.8967507323846866
371,Yes,>5 years,3-5 years,Psychology,,Psychologist,,Clinic,,South,Individual private practice,,Individual fieldwork,Internet based continuing education,,0.0,,,Training on supervision practices,,4.0,4-7 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Self,Yes,10% of patient's direct services,3.0,4-7 candidates,4.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,Mentorship,,4.0,5.0,3.0,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Psychologist,Clinic,Individual private practice,Internet based continuing education,Training on supervision practices,Mentorship,2.8695122840271194,4.294299620524666,4.0,3.8345681648339918,4.527160493827161,4.03685222148296,2.8086937579948463,3.935212270846225
372,Yes,>5 years,3-5 years,Psychology,,Psychologist,,Other,,West,Other,,Individual fieldwork,"Conferences or workshops,Individual mentoring",,0.0,,,"Training on supervision practices,Performance feedback",,3.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,I do not provide consultation to clients/consumers,5.0,I do not provide consultation to clients/consumers,Yes,5% of patient's direct services,3.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"Graduate course work material,Mentorship",,4.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Psychologist,Other,Other,"Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback","Graduate course work material,Mentorship",4.593023255813954,5.0,4.0,3.4,4.6,4.833333333333333,3.25,4.243991084966391
